theta,wvl,flux,r,n,log_mstar,log_mdust_over_mstar
0.0,3.222555553,4.5667240743922e-11,3.9041516364543454,0.47305894867792353,11.32,-2.74
0.0,3.46162143,5.0294746664224e-11,3.784283287546427,0.49535311419366995,11.32,-2.74
0.0,3.718422454,4.5884344767998994e-11,3.644722211688293,0.5386617445196613,11.32,-2.74
0.0,3.994274309,4.6129998954208004e-11,3.5201136345789843,0.5668760226898213,11.32,-2.74
0.0,4.290590285,4.6530936500639e-11,3.4205262753455647,0.590166870727931,11.32,-2.74
0.0,4.608888516,4.5972099095204e-11,3.326619906197816,0.6102648843657253,11.32,-2.74
0.0,4.95079976,4.5808246324174e-11,3.225523213417153,0.6245275398137851,11.32,-2.74
0.0,5.318075752,4.5108235898284995e-11,3.144137401621997,0.6557360749478339,11.32,-2.74
0.0,5.712598182,4.9005118320269004e-11,3.1303673906230065,0.6735449059524096,11.32,-2.74
0.0,6.136388331,6.8165520204628e-11,3.08868904233958,0.6540912741784617,11.32,-2.74
0.0,6.59161743,5.7082765284996005e-11,3.0417100453955968,0.6989164972785971,11.32,-2.74
0.0,7.080617784,7.0098009648941e-11,2.989180489741555,0.7067861272988516,11.32,-2.74
0.0,7.605894719,1.0655059247298999e-10,3.0464405459915502,0.6956774338577076,11.32,-2.74
0.0,8.17013942,6.3806905374621e-11,3.107281770337514,0.667877615418674,11.32,-2.74
0.0,8.776242719,3.9131641559051e-11,3.516020477805563,0.5510099994107187,11.32,-2.74
0.0,9.427309902,1.9435270167104e-11,4.01327796202225,0.4336707184802127,11.32,-2.74
0.0,10.12667662,1.6846157113427e-11,4.020447736316825,0.42539249798117873,11.32,-2.74
0.0,10.877926,2.43065195898e-11,3.684019543973961,0.5053716939703912,11.32,-2.74
0.0,11.68490694,3.5092155971265997e-11,3.3092597359996274,0.6174830012005452,11.32,-2.74
0.0,12.55175392,4.3697171103297995e-11,2.9987997599461664,0.7058966647894986,11.32,-2.74
0.0,13.48290809,2.4468488233351002e-11,2.945505050113523,0.7234615378302158,11.32,-2.74
0.0,14.48314011,1.6312929295945e-11,2.989180489741555,0.704080522932399,11.32,-2.74
0.0,15.55757453,1.2725960498631e-11,3.1303673906230065,0.6565425627265049,11.32,-2.74
0.0,16.71171607,1.0174525288092e-11,3.348193542840023,0.5912842487928254,11.32,-2.74
0.0,17.9514778,8.87478676615e-12,3.5078198357878123,0.5487778379109611,11.32,-2.74
0.0,19.28321149,8.937316696834e-12,3.4456929637352003,0.5478351313801808,11.32,-2.74
0.0,20.71374009,9.38048769784e-12,3.3567841754151013,0.5766784667239143,11.32,-2.74
0.0,22.25039271,1.027096203822e-11,3.304264113597234,0.6165347885037954,11.32,-2.74
0.0,23.9010422,1.1648161809653e-11,3.194119597054444,0.5875060573248297,11.32,-2.74
0.0,25.67414542,1.3689719302922099e-11,3.1303673906230065,0.607058543481666,11.32,-2.74
0.0,27.57878663,1.63122197641687e-11,3.0464405459915502,0.6074317118821946,11.32,-2.74
0.0,29.624724,2.0163596296892402e-11,2.969848481025307,0.6246240072443416,11.32,-2.74
0.0,31.82243961,2.5187627200347002e-11,2.896204412716091,0.6262278775027025,11.32,-2.74
0.0,34.18319315,3.1458750285531997e-11,2.846049894191606,0.6295446994424564,11.32,-2.74
0.0,36.71907964,4.0231775323227e-11,2.77949635729524,0.6508202420976908,11.32,-2.74
0.0,39.44309132,4.9908317542403004e-11,2.7482357977823964,0.6714272065440907,11.32,-2.74
0.0,42.36918432,6.1964027119012e-11,2.716615541479467,0.6988392081067498,11.32,-2.74
0.0,45.51235007,7.5751758212676e-11,2.663080922578146,0.7176712940133485,11.32,-2.74
0.0,48.88869215,8.9458939536509e-11,2.6359059164157617,0.7654784964220673,11.32,-2.74
0.0,52.51550878,1.04655361315715e-10,2.6194655943900433,0.7873163307757662,11.32,-2.74
0.0,56.41138148,1.1894826377164e-10,2.613962509331833,0.8177441530288074,11.32,-2.74
0.0,60.59627021,1.3116297799371298e-10,2.5973832986661676,0.851841873054048,11.32,-2.74
0.0,65.09161568,1.4267383729805e-10,2.5806975801491174,0.8792022221086184,11.32,-2.74
0.0,69.92044919,1.5209618337522998e-10,2.580697580149117,0.9160444494681437,11.32,-2.74
0.0,75.1075106,1.5851341602963701e-10,2.5582806726753544,0.9265673142649238,11.32,-2.74
0.0,80.67937511,1.6201477105736202e-10,2.552645686377852,0.9525376321033618,11.32,-2.74
0.0,86.66458942,1.61353926168966e-10,2.552645686377852,0.9822970167481733,11.32,-2.74
0.0,93.09381796,1.57341544204732e-10,2.5469982332507897,0.9831334702586401,11.32,-2.74
