wvl,flux,r,n
0.09,6.101217829928488e-13,7.216617937338292,0.20000000140065574
0.09888006579,2.81464418337986e-12,7.007925871988991,0.2000022113365686
0.1086363046,3.886932268541419e-12,6.783637160830412,0.24325003513326016
0.119355166,3.49705933380325e-12,6.515863518095923,0.26439699804872496
0.1311316297,4.2076425864664006e-12,6.336884894432527,0.28847746707512273
0.1440700463,3.830953092205e-12,6.1803602531398205,0.30045772383682645
0.1582850629,3.3002599791066e-12,6.077975815950545,0.3080012814803304
0.1739026381,3.3652908387744003e-12,6.0603081953410785,0.3082926497363996
0.1910611589,2.8200342623502e-12,6.178487928576875,0.299326360504105
0.2099126662,2.5048118045068002e-12,6.38870061496898,0.27598718804674527
0.2306242028,2.169532323609e-12,6.328405867392636,0.27827970036381744
0.2533792927,2.0289797366163e-12,6.138738720906467,0.2997651025356571
0.2783795681,2.0006150984044e-12,5.938159159021095,0.3227296007778098
0.3058465557,2.0549320121325997e-12,5.682046592890839,0.34064948587172444
0.3360236395,2.0017694310358e-12,5.54673619326053,0.3706887500200151
0.3691782175,2.2207899763115e-12,5.352832108368989,0.3943643349281608
0.4056040715,3.2455461862124003e-12,5.176789589769412,0.4267575886316556
0.4456239698,3.4916507365875e-12,5.011960340228505,0.4484168986421185
0.4895925272,3.4535438648488998e-12,4.902494745970335,0.4782124821429522
0.5378993478,3.3855340250680004e-12,4.738191082493628,0.4968984831967643
0.5909724767,3.4381863702187e-12,4.596056360308902,0.5253626117238588
0.6492821931,3.3189092454881e-12,4.471294822064512,0.5632263540547737
0.7133451775,3.2861804028627e-12,4.352642184201852,0.5964566082863734
0.7837290898,3.2968193037942e-12,4.2176726107349785,0.6315302430382037
0.8610575996,3.2599437578916998e-12,4.071159153938142,0.6777438805984943
0.9460159122,3.362291128917e-12,3.939966185876003,0.7157723431522216
1.03935684,3.320410395576633e-12,3.822235261881644,0.7737116931895467
1.141907475,3.12059707742366e-12,3.688294685970754,0.8099343331868214
1.254576514,3.05962760614811e-12,3.5777595586378186,0.8536840172024485
1.378362314,3.06291379964708e-12,3.448462402467368,0.9021348412715562
