wvl,flux,r,n
0.09,3.8572510752038874e-13,8.307420111505714,0.20000000022839026
0.09888006579,1.753429484975041e-12,8.24121350299288,0.21527979730483054
0.1086363046,2.36740578384352e-12,8.23247228977469,0.2266318803685844
0.119355166,2.09691408302666e-12,7.925906888285318,0.23912958387992733
0.1311316297,2.4884723130631197e-12,7.810608171052852,0.24812047422093364
0.1440700463,2.2563787400996003e-12,7.742092740447352,0.2532419136130671
0.1582850629,1.912946969701e-12,7.648529270496847,0.26334210663384705
0.1739026381,1.947355644831e-12,7.648529270496847,0.25901039323202657
0.1910611589,1.62873171771128e-12,7.742092740447351,0.25439864669017415
0.2099126662,1.4650751032600301e-12,7.813065051404543,0.24691452674185088
0.2306242028,1.26811473838267e-12,7.810608171052852,0.2466376804865492
0.2533792927,1.17342466331869e-12,7.672965528507056,0.25821124924731603
0.2783795681,1.1390600269854e-12,7.54808585017447,0.2691325259593168
0.3058465557,1.1546040030734001e-12,7.3860950441715785,0.30416187685316914
0.3360236395,1.1223473205715e-12,7.307694575001305,0.3164194495336981
0.3691782175,1.2308367675297e-12,7.077457170581131,0.3272378602072136
0.4056040715,1.7839652763624e-12,6.921098178854901,0.3487115354689715
0.4456239698,1.9129868128781997e-12,6.763253654956897,0.37300933566997274
0.4895925272,1.8919989638596e-12,6.6472851602172165,0.3802697941568589
0.5378993478,1.8472941504185e-12,6.493874036442906,0.3963786372574549
0.5909724767,1.8691314787917997e-12,6.363961030768514,0.408852753916197
0.6492821931,1.8111973193303e-12,6.278084002948045,0.42839960540109845
0.7133451775,1.8051800936384999e-12,6.119252667306834,0.4417651648750237
0.7837290898,1.8159223925798e-12,5.97414429027328,0.4465436907960685
0.8610575996,1.8088697702714e-12,5.812882245577604,0.4649557942375471
0.9460159122,1.8785308292613002e-12,5.707889277212485,0.4789091071874326
1.03935684,1.8700918816356688e-12,5.515432893332712,0.4894325478423888
1.141907475,1.775849016624643e-12,5.349667262990411,0.502960340519494
1.254576514,1.76552358864944e-12,5.178802950562524,0.5242104547367963
1.378362314,1.78663821209785e-12,5.017808286563854,0.5487882948431481
1.514361737,1.82476245551859e-12,4.796268470706267,0.5726946362351039
1.663779868,1.93959366608091e-12,4.614514849619338,0.5995681205891005
1.827940698,1.8892134762857e-12,4.471509812195757,0.6299531634604437
2.00829885,1.8296224264991997e-12,4.219668233463539,0.6409208710239498
2.206452472,1.7603002785227e-12,3.977235220658361,0.6348452807900253
2.424157395,1.6242472151036999e-12,3.749852515188962,0.648173042984177
2.663342697,1.6885089716038e-12,3.564955420133529,0.6523964211243565
2.92612779,1.7883185207663e-12,3.4540411115584444,0.6673708270953413
3.0,1.7981534631806002e-12,3.3136083052028247,0.6941934042534386
3.222555553,1.9701207124679e-12,3.212102115483019,0.7011639699488614
3.46162143,2.1539471245246e-12,3.0886890423395803,0.7128783540157999
3.718422454,1.9317826554515e-12,2.984359227749025,0.7161339337261667
3.994274309,1.8895305639528998e-12,2.930801938078013,0.7501509936765542
4.290590285,1.8755104075958e-12,2.835912551583075,0.7548207906395739
4.608888516,1.8299382487659002e-12,2.7794963572952405,0.7635801655774572
4.95079976,1.7992773708501e-12,2.7324714088550337,0.795181542113071
5.318075752,1.7847181859495e-12,2.7059933481452165,0.8068672709224145
5.712598182,1.9059572180524003e-12,2.652244332673378,0.8292290363487322
6.136388331,2.6489384311426e-12,2.604463977232449,0.8178445529386795
6.59161743,2.2159961238396e-12,2.580697580149117,0.8473394462826027
7.080617784,2.7391878905217e-12,2.512846991000005,0.8288353614239194
7.605894719,4.192737909374801e-12,2.5071098899284343,0.8453011250160112
8.17013942,2.5590286711664e-12,2.512846991000005,0.836733504025476
8.776242719,1.7380574673783e-12,2.710991477098948,0.8000681659260722
9.427309902,9.224402829677e-13,2.846049894191606,0.6821144594030422
10.12667662,7.8753091384238e-13,2.8812497288908725,0.6844451726485583
10.877926,1.0789493330925e-12,2.7324714088550337,0.7478783370384132
11.68490694,1.4492247097517e-12,2.580697580149117,0.8443010751304076
12.55175392,1.6705428161955001e-12,2.4489997958695016,0.8696572033687475
13.48290809,9.248651183204e-13,2.3894769302424224,0.8703198462064023
14.48314011,6.3174447616575e-13,2.3894769302424224,0.8743047647352702
15.55757453,4.9587287316908e-13,2.480959846676785,0.8650570388965857
16.71171607,4.0636545105678e-13,2.580697580149117,0.8245040205697622
17.9514778,3.5875177915234e-13,2.6194655943900433,0.8004921280712973
19.28321149,3.4343384268474e-13,2.61294382943353,0.8347576709683862
20.71374009,3.4448910056079e-13,2.580697580149117,0.8432289430470488
22.25039271,3.5194113638451e-13,2.5071098899284343,0.8218778781112177
23.9010422,3.7939179874834e-13,2.4782251714024923,0.8258015493150546
25.67414542,4.0851480079825997e-13,2.414838717111566,0.8428485065490008
27.57878663,4.5105602760318997e-13,2.334609175034111,0.7908647085916563
29.624724,5.1596872393624e-13,2.284731931791335,0.851539572442739
31.82243961,5.870978819451401e-13,2.2401785643428718,0.8369559217193923
34.18319315,6.8908428629586e-13,2.2012723593722847,0.8522351059250315
36.71907964,8.1612327158781e-13,2.168317319981642,0.8643296288188218
39.44309132,9.7606172461057e-13,2.1213203435895047,0.8678416522375045
42.36918432,1.19718143249333e-12,2.1213203435895047,0.9156385705567971
45.51235007,1.4501137832083201e-12,2.100856968030966,0.9444063420787618
48.88869215,1.78054254010745e-12,2.100856968030966,0.9640942889688171
52.51550878,2.1720573982426997e-12,2.066301042955795,0.962094501714702
56.41138148,2.5905195348459998e-12,2.100856968030966,1.0008087126027037
